type,entry_time,entry_price,sl,hour,exit_time,exit_price,tp,result,pnl
BUY,2025-04-10 14:00:00+00:00,3142.465,3118.9950000000003,10,2025-04-10 14:00:00+00:00,3118.9950000000003,3201.1399999999994,LOSS,-23.4699999999998
SELL,2025-04-13 22:00:00+00:00,3219.885,3236.575,18,2025-04-14 01:30:00+00:00,3236.575,3178.160000000001,LOSS,-16.6899999999996
BUY,2025-04-15 01:15:00+00:00,3222.885,3194.215,21,2025-04-16 06:30:00+00:00,3294.5600000000004,3294.5600000000004,WIN,71.67500000000018
SELL,2025-04-15 13:45:00+00:00,3212.825,3224.365,9,2025-04-15 14:15:00+00:00,3224.365,3183.975,LOSS,-11.539999999999964
BUY,2025-04-16 13:45:00+00:00,3311.335,3296.385,9,2025-04-16 22:00:00+00:00,3348.7099999999996,3348.7099999999996,WIN,37.374999999999545
SELL,2025-04-17 14:30:00+00:00,3294.335,3332.085,10,2025-04-20 22:00:00+00:00,3332.085,3199.96,LOSS,-37.75
BUY,2025-04-20 22:00:00+00:00,3338.205,3326.7250000000004,18,2025-04-21 00:30:00+00:00,3366.904999999999,3366.904999999999,WIN,28.69999999999891
BUY,2025-04-21 14:00:00+00:00,3426.315,3404.5950000000003,10,2025-04-22 03:15:00+00:00,3480.615,3480.615,WIN,54.2999999999995
SELL,2025-04-22 16:15:00+00:00,3386.485,3445.075,12,2025-05-01 01:00:00+00:00,3240.010000000001,3240.010000000001,WIN,146.47499999999923
SELL,2025-04-23 13:45:00+00:00,3277.215,3304.4449999999997,9,2025-04-23 16:45:00+00:00,3304.4449999999997,3209.1400000000012,LOSS,-27.229999999999563
SELL,2025-04-24 13:45:00+00:00,3314.995,3333.5249999999996,9,2025-04-24 16:00:00+00:00,3333.5249999999996,3268.6700000000005,LOSS,-18.529999999999745
BUY,2025-04-27 22:00:00+00:00,3326.245,3318.425,18,2025-04-27 22:15:00+00:00,3318.425,3345.794999999999,LOSS,-7.819999999999709
BUY,2025-04-28 14:15:00+00:00,3310.895,3289.375,10,2025-04-30 08:00:00+00:00,3289.375,3364.6949999999997,LOSS,-21.519999999999982
SELL,2025-04-29 13:45:00+00:00,3306.095,3321.1949999999997,9,2025-04-29 16:30:00+00:00,3321.1949999999997,3268.3450000000003,LOSS,-15.099999999999909
SELL,2025-04-30 14:30:00+00:00,3293.935,3319.7549999999997,10,2025-05-01 03:30:00+00:00,3229.3850000000007,3229.3850000000007,WIN,64.54999999999927
SELL,2025-05-01 14:45:00+00:00,3218.655,3233.2749999999996,10,2025-05-01 20:00:00+00:00,3233.2749999999996,3182.1050000000014,LOSS,-14.619999999999436
BUY,2025-05-02 14:45:00+00:00,3262.385,3247.695,10,2025-05-02 15:30:00+00:00,3247.695,3299.1100000000006,LOSS,-14.690000000000055
